Authors,Title,Year,Source title,Cited by,Link,Affiliations,Authors with affiliations,Abstract
"Mali S., Sakanaka L.S., Yamashita F., Grossmann M.V.E.","Water sorption and mechanical properties of cassava starch films and their relation to plasticizing effect",2005,"Carbohydrate Polymers",264,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-18144430234&doi=10.1016%2fj.carbpol.2005.01.003&partnerID=40&md5=f3f5a63dd1d66ca21fe9e4cf8270ee29","Depto. de Tecn. de Alimentos e M., Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil","Mali, S., Depto. de Tecn. de Alimentos e M., Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil; Sakanaka, L.S., Depto. de Tecn. de Alimentos e M., Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil; Yamashita, F., Depto. de Tecn. de Alimentos e M., Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil; Grossmann, M.V.E., Depto. de Tecn. de Alimentos e M., Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil","Effects of plasticizers (glycerol, sorbitol, and 1:1 mixture of glycerol and sorbitol) on moisture sorption characteristics of cassava starch films were investigated at three levels of plasticizer concentration (0, 20, and 40 g/100 g starch). The combined effects of relative humidity and plasticizer on mechanical properties of starch films were also examined. Water affinities of cassava starch films were affected by hydrophilicity of the plasticizer and its concentration. Films plasticized with glycerol, under all RH conditions, adsorbed more moisture with higher initial adsorption rate, and films with higher plasticizers contents exhibited higher equilibrium moisture contents. Mechanical properties were affected by plasticizing effect, including the water adsorbed, resulting in higher strain and Young's modulus values for starch films and, in all cases, glycerol exerted a more effective plasticization. © 2005 Elsevier Ltd. All rights reserved."
"Mali S., Grossmann M.V.E., Garcia M.A., Martino M.N., Zaritzky N.E.","Microstructural characterization of yam starch films",2002,"Carbohydrate Polymers",190,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036883719&doi=10.1016%2fS0144-8617%2802%2900058-9&partnerID=40&md5=4cdba7198516d49f7b93953a8b2e0c73","Departamento De Tecnologia De Alimentos E Medicamentos, Centro De Ciências Agrárias, Universidade Estadual De Londrina, Caixa Postal 6001, CEP 86051-990 Londrina, PR, Brazil; Centro De Investigación Y Desarrollo En Criotecnología De Alimentos (CIDCA), CONICET, Universidad Nacional De La Plata, La Plata, Argentina; Depto. De Ingeniería Química, Facultad De Ingeniería (UNLP), 47 Y 116, La Plata (1900), Buenos Aires, Argentina","Mali, S., Departamento De Tecnologia De Alimentos E Medicamentos, Centro De Ciências Agrárias, Universidade Estadual De Londrina, Caixa Postal 6001, CEP 86051-990 Londrina, PR, Brazil; Grossmann, M.V.E., Departamento De Tecnologia De Alimentos E Medicamentos, Centro De Ciências Agrárias, Universidade Estadual De Londrina, Caixa Postal 6001, CEP 86051-990 Londrina, PR, Brazil; Garcia, M.A., Centro De Investigación Y Desarrollo En Criotecnología De Alimentos (CIDCA), CONICET, Universidad Nacional De La Plata, La Plata, Argentina; Martino, M.N., Centro De Investigación Y Desarrollo En Criotecnología De Alimentos (CIDCA), CONICET, Universidad Nacional De La Plata, La Plata, Argentina, Depto. De Ingeniería Química, Facultad De Ingeniería (UNLP), 47 Y 116, La Plata (1900), Buenos Aires, Argentina; Zaritzky, N.E., Centro De Investigación Y Desarrollo En Criotecnología De Alimentos (CIDCA), CONICET, Universidad Nacional De La Plata, La Plata, Argentina, Depto. De Ingeniería Química, Facultad De Ingeniería (UNLP), 47 Y 116, La Plata (1900), Buenos Aires, Argentina","Yam starch films were produced by thermal gelatinization of starch suspensions using different starch and glycerol concentrations and were compared to control samples without glycerol. Films were characterized by polarized light microscopy, scanning electron microscopy (SEM), differential scanning calorimetry (DSC), thermomechanical analysis (TMA), X-ray diffraction, water vapor permeability (WVP) and water sorption isotherms. The polarized light microscopy and DSC data showed that starch gelatinization for film formation was complete. Plasticized films have a homogeneous structure as observed by SEM. At water activities >0.43, glycerol increased the equilibrium moisture content of the films due to its hydrophilic character. X-ray pattern of the yam films could be assigned to a B-type starch; during storage this pattern remained almost the same, however a slight recrystallization process could be observed. Amylopectin retrogradation was not observed by DSC with storage time of the films. Glass transition temperatures of films with glycerol were lower than those of control films as measured by DSC and TMA. WVP of yam starch films increased with the presence of glycerol. © 2002 Elsevier Science Ltd. All rights reserved."
"Mali S., Grossmann M.V.E., García M.A., Martino M.N., Zaritzky N.E.","Effects of controlled storage on thermal, mechanical and barrier properties of plasticized films from different starch sources",2006,"Journal of Food Engineering",165,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644619858&doi=10.1016%2fj.jfoodeng.2005.04.031&partnerID=40&md5=66f08b12aefb102660de796a100aa32a","Departamento de Tecnologia de Alimentos e Medicamentos, Centro de Ciências Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil; Centro de Investigación y Desarrollo en Criotecnología, de Alimentos (CIDCA, CONICET, Universidad Nacional de la Plata, Buenos Aires 1900, Argentina; Depto. de Ingeniería Química, Facultad de Ingeniería, (UNLP), 47 y 116, La Plata 1900, Buenos Aires, Argentina","Mali, S., Departamento de Tecnologia de Alimentos e Medicamentos, Centro de Ciências Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil; Grossmann, M.V.E., Departamento de Tecnologia de Alimentos e Medicamentos, Centro de Ciências Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil; García, M.A., Centro de Investigación y Desarrollo en Criotecnología, de Alimentos (CIDCA, CONICET, Universidad Nacional de la Plata, Buenos Aires 1900, Argentina; Martino, M.N., Centro de Investigación y Desarrollo en Criotecnología, de Alimentos (CIDCA, CONICET, Universidad Nacional de la Plata, Buenos Aires 1900, Argentina, Depto. de Ingeniería Química, Facultad de Ingeniería, (UNLP), 47 y 116, La Plata 1900, Buenos Aires, Argentina; Zaritzky, N.E., Centro de Investigación y Desarrollo en Criotecnología, de Alimentos (CIDCA, CONICET, Universidad Nacional de la Plata, Buenos Aires 1900, Argentina, Depto. de Ingeniería Química, Facultad de Ingeniería, (UNLP), 47 y 116, La Plata 1900, Buenos Aires, Argentina","Thermal, mechanical and barrier properties of corn, cassava and yam starch films were determined and the behavior of these three starches films under a controlled storage (64% RH and 20 °C) was compared. Glass transition (T g) in all unplasticized films was higher than in plasticized, and during storage, Tg decreased, except for samples with 40 g glycerol/100 g starch. Crystallinity was affected by plasticizer concentration and storage time; in unplasticized samples the increase in crystallinity was higher than in plasticized ones during storage, thus, unplasticized stored samples become more brittle and less permeable during storage. Unplasticized films showed water vapor permeability (WVP) values ranged from 6.75 to 8.33 × 10-10 g m-1 s-1 Pa-1. These values decrease when glycerol content reached at 20 g/100 g starch because a more compact structure was formed and, then, at 40 g glycerol/100 g starch, WVP increased because film matrixes became less dense. © 2005 Elsevier Ltd. All rights reserved."
"Mali S., Grossmann M.V.E., García M.A., Martino M.N., Zaritzky N.E.","Barrier, mechanical and optical properties of plasticized yam starch films",2004,"Carbohydrate Polymers",140,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2642549032&doi=10.1016%2fj.carbpol.2004.01.004&partnerID=40&md5=5b4933706d0ac58170130c0ce3414756","Depto. de Tecnologia de Alimentos, Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina, PR, Brazil; Ctro. Invest./Desarrollo C.A., CONICET, Universidad Nacional de La Plata, Buenos Aires, Argentina; Depto. de Ing. Química, Facultad de Ingeniería, UNLP, 47 y 116, La Plata (1900), Buenos Aires, Argentina","Mali, S., Depto. de Tecnologia de Alimentos, Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina, PR, Brazil; Grossmann, M.V.E., Depto. de Tecnologia de Alimentos, Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina, PR, Brazil; García, M.A., Ctro. Invest./Desarrollo C.A., CONICET, Universidad Nacional de La Plata, Buenos Aires, Argentina; Martino, M.N., Ctro. Invest./Desarrollo C.A., CONICET, Universidad Nacional de La Plata, Buenos Aires, Argentina, Depto. de Ing. Química, Facultad de Ingeniería, UNLP, 47 y 116, La Plata (1900), Buenos Aires, Argentina; Zaritzky, N.E., Ctro. Invest./Desarrollo C.A., CONICET, Universidad Nacional de La Plata, Buenos Aires, Argentina, Depto. de Ing. Química, Facultad de Ingeniería, UNLP, 47 y 116, La Plata (1900), Buenos Aires, Argentina","Yam starch films were obtained by casting. Effect of different film thicknesses (0.07, 0.09, 0.11 mm) and concentrations of glycerol (1.30, 1.65 and 2.00% w/w) and starch (3.30, 3.65 and 4.00% w/w) were evaluated. Barriers, mechanical and optical properties of films were analyzed. Films were homogeneous and transparent without insoluble particles. Water vapor and O2 permeabilities increased with glycerol concentration. Opacity of yam starch films depended on film thickness, higher the thickness, more opaque the sample. Films with 4.00% w/w starch, 1.30% w/w glycerol and 0.11 mm thickness gave the highest puncture strength. Puncture deformation increased with glycerol content. © 2004 Elsevier Ltd. All rights reserved."
"Müller C.M.O., Yamashita F., Laurindo J.B.","Evaluation of the effects of glycerol and sorbitol concentration and water activity on the water barrier properties of cassava starch films through a solubility approach",2008,"Carbohydrate Polymers",120,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-37849006188&doi=10.1016%2fj.carbpol.2007.07.026&partnerID=40&md5=f60fd7c9af277a7f3d0413b0e973ec69","Departamento de Tecnologia de Alimentos, Medicamentos - Universidade Estadual de Londrina, Londrina, PR, Brazil; Departamento de Engenharia Química e Engenharia, Alimentos - Universidade Federal de Santa Catarina, 88040-900 Florianópolis, SC, Brazil","Müller, C.M.O., Departamento de Tecnologia de Alimentos, Medicamentos - Universidade Estadual de Londrina, Londrina, PR, Brazil; Yamashita, F., Departamento de Tecnologia de Alimentos, Medicamentos - Universidade Estadual de Londrina, Londrina, PR, Brazil; Laurindo, J.B., Departamento de Engenharia Química e Engenharia, Alimentos - Universidade Federal de Santa Catarina, 88040-900 Florianópolis, SC, Brazil","The effects of glycerol and sorbitol on the water sorption isotherms and water vapor permeability (Kw) of cassava starch films prepared by casting were investigated. Kw values were determined in three ranges of relative humidity, RH, (2-33%, 33-64% and 64-90%) and the GAB model was used to fit experimental water sorption isotherms. These data were used to determine the relative influence of the diffusion coefficient of water (Dw) and the average solubility coefficient (over(β, ̄)) of water in the films on the Kw value. In all cases, an increase in Kw values were observed with increasing plasticizer concentration and RH. The Dw, over(β, ̄) and Kw values of films prepared with glycerol were greater than those of films prepared with sorbitol. For high RH, the over(β, ̄) values increased 6-fold for films with glycerol and 7-fold for films with sorbitol, while Dw values did not change significantly. These results indicate that Kw values are dependent on the solubility coefficient (over(β, ̄)) of water in the film, which is not consistent with the proposal that an opening of polymer chains promoted by plasticizers leads to an increase in Dw and Kw. © 2007 Elsevier Ltd. All rights reserved."
"Müller C.M.O., Laurindo J.B., Yamashita F.","Effect of cellulose fibers addition on the mechanical properties and water vapor barrier of starch-based films",2009,"Food Hydrocolloids",117,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-60149093703&doi=10.1016%2fj.foodhyd.2008.09.002&partnerID=40&md5=3ac4302d11be775b841573d037bba8fe","Department of Food Science and Technology, State University of Londrina, Londrina, PR, Brazil; Department of Chemical and Food Engineering, Federal University of Santa Catarina, Florianopolis, SC 88040-900, Brazil","Müller, C.M.O., Department of Food Science and Technology, State University of Londrina, Londrina, PR, Brazil, Department of Chemical and Food Engineering, Federal University of Santa Catarina, Florianopolis, SC 88040-900, Brazil; Laurindo, J.B., Department of Chemical and Food Engineering, Federal University of Santa Catarina, Florianopolis, SC 88040-900, Brazil; Yamashita, F., Department of Food Science and Technology, State University of Londrina, Londrina, PR, Brazil","Starch-based films have promising application on food packaging, because of their environmental appeal, low cost, flexibility and transparency. Nevertheless, their mechanical and moisture barrier properties should be improved. The aim of this work was to enhance these properties by reinforcing the films with cellulose fibers. Besides, the influences of both the solubility coefficient of water in the films (β) and the diffusion coefficient of water vapor through the films (Dw) on the films' water vapor permeability (Kw) were investigated. Films were prepared by the so-called casting technique, from film-forming suspensions of cassava starch, cellulose fibers (1.2 mm long and 0.1 mm of diameter), glycerol and water. The influence of fibers addition on Kw was determined at three relative humidity gradient ranges, ΔRH (2-33%, 33-64% and 64-90%). Films reinforced with cellulose fibers showed higher tensile strength and lower deformation capacity, and presented lower Kw than films without fibers. Kw showed strong dependency of β and Dw, presenting values up to 2-3 times greater at ΔRH = 64-90% than at ΔRH = 33-64%, depending on the film formulation. Therefore, adding cellulose fibers to starch-based films is a viable alternative to improve their mechanical and water barrier properties. Besides, this work showed the importance of determining film's water vapor permeability simulating the real environmental conditions the film will be used. © 2008 Elsevier Ltd. All rights reserved."
"Rossi C.C.R.S., Alonso C.G., Antunes O.A.C., Guirardello R., Cardozo-Filho L.","Thermodynamic analysis of steam reforming of ethanol and glycerine for hydrogen production",2009,"International Journal of Hydrogen Energy",111,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58049217316&doi=10.1016%2fj.ijhydene.2008.09.071&partnerID=40&md5=ec51b5f641dbe7ab0e7767dab8ae4c22","Department of Chemical Engineering, State University of Maringá - UEM, Av. Colombo 5790, Bloco D-90, PR 87020-900 Maringa, Parana, Brazil; Institute of Chemical, CT, Block A, Rio de Janeiro, RJ 21941-909, Brazil; College of Chemical Engineering, State University of Campinas - UNICAMP, P.O. Box 6066, 13081-970 Campinas, Brazil","Rossi, C.C.R.S., Department of Chemical Engineering, State University of Maringá - UEM, Av. Colombo 5790, Bloco D-90, PR 87020-900 Maringa, Parana, Brazil; Alonso, C.G., Department of Chemical Engineering, State University of Maringá - UEM, Av. Colombo 5790, Bloco D-90, PR 87020-900 Maringa, Parana, Brazil; Antunes, O.A.C., Institute of Chemical, CT, Block A, Rio de Janeiro, RJ 21941-909, Brazil; Guirardello, R., College of Chemical Engineering, State University of Campinas - UNICAMP, P.O. Box 6066, 13081-970 Campinas, Brazil; Cardozo-Filho, L., Department of Chemical Engineering, State University of Maringá - UEM, Av. Colombo 5790, Bloco D-90, PR 87020-900 Maringa, Parana, Brazil","In the past few years there has been a growing interest in environmentally clean renewable sources for hydrogen production. In this context new technologies have been developed for ethanol and glycerine reforming. Hydrogen production varies significantly according to the operating conditions such as pressure, temperature and feed reactants ratio. The thermodynamic analysis provides important knowledge about the effects of those variables on the process of ethanol and glycerine reforming. The present work was aimed at analyzing the thermodynamic steam reforming of ethanol and glycerine, using Gibbs free energy minimization using actual temperature and pressure data found in the literature. The nonlinear programming model was implemented in GAMS® and the CONOPT2 solver was used to solve the equations. The ideality in gaseous phase and the formation of solid carbon was considered. The methodology used reproduced the most relevant papers involving experimental studies and thermodynamic analysis. © 2008 International Association for Hydrogen Energy."
"Bassoli B.K., Cassolla P., Borba-Murad G.R., Constantin J., Salgueiro-Pagadigorria C.L., Bazotte R.B., Da Silva R.S.D.S.F., De Souza H.M.","Chlorogenic acid reduces the plasma glucose peak in the oral glucose tolerance test: Effects on hepatic glucose release and glycaemia",2008,"Cell Biochemistry and Function",107,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-42949178642&doi=10.1002%2fcbf.1444&partnerID=40&md5=63c20a24000693ca1a3ef3a91bdacd4b","Department of Physiological Sciences, State University of Londrina, Londrina, PR, Brazil; Department of Biochemistry, State University of Maringá, Maringá, PR, Brazil; Department of Pharmacy and Pharmacology, State University of Maringá, Maringá, PR, Brazil; Department of Food and Medicinal Technology, State University of Londrina, Londrina, PR, Brazil; Departamento de Ciências Fisiológicas, Universidade Estadual de Londrina, 86051-990, Londrina - PR, Brazil","Bassoli, B.K., Department of Physiological Sciences, State University of Londrina, Londrina, PR, Brazil; Cassolla, P., Department of Physiological Sciences, State University of Londrina, Londrina, PR, Brazil; Borba-Murad, G.R., Department of Physiological Sciences, State University of Londrina, Londrina, PR, Brazil; Constantin, J., Department of Biochemistry, State University of Maringá, Maringá, PR, Brazil; Salgueiro-Pagadigorria, C.L., Department of Biochemistry, State University of Maringá, Maringá, PR, Brazil; Bazotte, R.B., Department of Pharmacy and Pharmacology, State University of Maringá, Maringá, PR, Brazil; Da Silva, R.S.D.S.F., Department of Food and Medicinal Technology, State University of Londrina, Londrina, PR, Brazil; De Souza, H.M., Department of Physiological Sciences, State University of Londrina, Londrina, PR, Brazil, Departamento de Ciências Fisiológicas, Universidade Estadual de Londrina, 86051-990, Londrina - PR, Brazil","The effects of chlorogenic acid (CA) on hepatic glucose output, blood glucose levels and on glucose tolerance were analysed. Hepatic uptake of CA and its effects on hepatic catabolism of L-alanine and glucose-6-phosphatase (G-6-Pase) activity were also evaluated. CA (1 mM) inhibited about 40% of G-6-Pase activity (p < 0.05) in the microsomal fraction of hepatocytes, but no effect was observed on production of glucose from gluconeogenesis or on L-alanine catabolism, at various concentrations of CA (0.33, 0.5 and 1 mM), in liver perfusion experiments. Since there were indications of a lack of uptake of CA by the liver, it is possible that this compound did not reach sufficiently high intracellular levels to inhibit the target enzyme. Accordingly, intravenous administration of CA also failed to provoke a reduction in blood glucose levels. However, CA did promote a significant reduction (p < 0.05) in the plasma glucose peak at 10 and 15 min during the oral glucose tolerance test, probably by attenuating intestinal glucose absorption, suggesting a possible role for it as a glycaemic index lowering agent and highlighting it as a compound of interest for reducing the risk of developing type 2 diabetes. Copyright © 2007 John Wiley & Sons, Ltd."
"Brito M.N., Brito N.A., Baro D.J., Song C.K., Bartness T.J.","Differential activation of the sympathetic innervation of adipose tissues by melanocortin receptor stimulation",2007,"Endocrinology",106,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-35548962415&doi=10.1210%2fen.2007-0621&partnerID=40&md5=3d2c230c04502e2fe6d6a0133aff97ee","Department of Morphophysiological Sciences, State University of Maringá, 87 020-900 Maringá, Brazil; Department of Biology, Center for Neuroscience and Behavior, Georgia State University, Atlanta, GA 30302-4010, United States; Department of Biology, Georgia State University, 24 Peachtree Center Avenue Northeast, Atlanta, GA 30302-4010, United States","Brito, M.N., Department of Morphophysiological Sciences, State University of Maringá, 87 020-900 Maringá, Brazil; Brito, N.A., Department of Morphophysiological Sciences, State University of Maringá, 87 020-900 Maringá, Brazil; Baro, D.J., Department of Biology, Center for Neuroscience and Behavior, Georgia State University, Atlanta, GA 30302-4010, United States; Song, C.K., Department of Biology, Center for Neuroscience and Behavior, Georgia State University, Atlanta, GA 30302-4010, United States; Bartness, T.J., Department of Biology, Center for Neuroscience and Behavior, Georgia State University, Atlanta, GA 30302-4010, United States, Department of Biology, Georgia State University, 24 Peachtree Center Avenue Northeast, Atlanta, GA 30302-4010, United States","Melanocortins are implicated in the control of energy intake/expenditure. Centrally administered melanotan II (MTII), a synthetic melanocortin 3/4-receptor agonist, decreases adiposity beyond that accountable by food intake decreases. Melanocortin-4 receptor (MC4-R) mRNA is expressed on sympathetic nervous system (SNS) outflow neurons to white adipose tissue (WAT) in Siberian hamsters, suggesting a role in lipid mobilization. Therefore, we tested whether third ventricular injections of MTII increased sympathetic drive to WAT and interscapular brown adipose tissue (IBAT) using norepinephrine turnover (NETO) as a measure of sympathetic drive. We also tested for MTII-induced changes in lipolysis-related WAT gene expression (β3-adrenoceptors, hormone sensitive lipase) and IBAT thermogenesis (β3-adrenoceptor, uncoupling protein-1). Finally, we tested whether third ventricularly injected MTII, a highly selective MC4-R agonist (cyclo[β-Ala-His-D-Phe-Arg-Trp-Glu]NH2) increased or agouti-related protein decreased IBAT temperature in hamsters implanted with sc IBAT temperature transponders. Centrally administered MTII provoked differential sympathetic drives to WAT and IBAT (increased inguinal WAT, dorsosubcutaneous WAT and IBAT NETO, but not epididymal WAT and retroperitoneal WAT NETO). MTII also increased circulating concentrations of the lipolytic products free fatty acids and glycerol but not plasma catecholamines, suggesting lipid mobilization via WAT SNS innervation and not via adrenal medullary catecholamines. WAT or IBAT gene expression was largely unaffected by acute MTII treatment, but IBAT temperature was increased by MTII and the MC4-R agonist and decreased by agouti-related protein. Collectively, this is the first demonstration of central melanocortin agonist stimulation of WAT lipolysis through the SNS and confirms melanocortin-induced changes in BAT thermogenesis. Copyright © 2007 by The Endocrine Society."
"Mali S., Grossmann M.V.E., García M.A., Martino M.N., Zaritzky N.E.","Mechanical and thermal properties of yam starch films",2005,"Food Hydrocolloids",100,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-4444266893&doi=10.1016%2fj.foodhyd.2004.05.002&partnerID=40&md5=80174bdba795fbe5da9a3a8bb018ca13","Depto. Tecn. Alimentos Medicamentos, Ctro. de Ciê. Agrárias, Univ. Estadual Londrina, Cx. P., Londrina, PR, Brazil; Ctro. Invest. Y Desarrollo C., CONICET, Fac. Cs Exact., Univ. Nac. la Platam, Buenos Aires, Argentina; Depto. de Ing. Química, Facultad de Ingeniería, (UNLP), 47 Y 116, la Plata (1900), Buenos Aires, Argentina; Univ. Estadual de Londrina UEL, Tecn. de Alimentos e Medicamentos, Rodovia Celso Garcia Cid, SN C., Brazil","Mali, S., Depto. Tecn. Alimentos Medicamentos, Ctro. de Ciê. Agrárias, Univ. Estadual Londrina, Cx. P., Londrina, PR, Brazil, Univ. Estadual de Londrina UEL, Tecn. de Alimentos e Medicamentos, Rodovia Celso Garcia Cid, SN C., Brazil; Grossmann, M.V.E., Depto. Tecn. Alimentos Medicamentos, Ctro. de Ciê. Agrárias, Univ. Estadual Londrina, Cx. P., Londrina, PR, Brazil; García, M.A., Ctro. Invest. Y Desarrollo C., CONICET, Fac. Cs Exact., Univ. Nac. la Platam, Buenos Aires, Argentina; Martino, M.N., Ctro. Invest. Y Desarrollo C., CONICET, Fac. Cs Exact., Univ. Nac. la Platam, Buenos Aires, Argentina, Depto. de Ing. Química, Facultad de Ingeniería, (UNLP), 47 Y 116, la Plata (1900), Buenos Aires, Argentina; Zaritzky, N.E., Ctro. Invest. Y Desarrollo C., CONICET, Fac. Cs Exact., Univ. Nac. la Platam, Buenos Aires, Argentina, Depto. de Ing. Química, Facultad de Ingeniería, (UNLP), 47 Y 116, la Plata (1900), Buenos Aires, Argentina","Yam starch films were prepared by casting using glycerol as plasticizer. The effects of different film thicknesses (0.07, 0.09, 0.11 mm), glycerol (1.30, 1.65 and 2.00 g/100 g of filmogenic solution) and starch (3.30, 3.65 and 4.00 g/100 g of filmogenic solution) concentrations were evaluated in mechanical properties of these films. Films with high puncture strengths were obtained at higher thickness, higher starch concentration and lower glycerol concentration. Puncture deformation increased with glycerol content. Tensile tests showed that with increasing of glycerol concentration, the films became more flexible, with higher strain at break values and lower stress and Young's Modulus. Glass transition temperatures (T g) of films were affected by glycerol and starch concentration; films formulated with high yam starch concentrations showed higher T g values and T g of film formulated without plasticizer (control sample) were higher than those of plasticized films. © 2004 Elsevier Ltd. All rights reserved."
