,Affiliation,Affiliation_2,Affiliation_3,lng,lat,id,Area_L1,Country,Area_L2
0,"Depto. de Tecn. de Alimentos e M., Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil"," Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil"," Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil",,,,,,
1,"Departamento De Tecnologia De Alimentos E Medicamentos, Centro De Ciências Agrárias, Universidade Estadual De Londrina, Caixa Postal 6001, CEP 86051-990 Londrina, PR, Brazil"," Centro De Ciências Agrárias, Universidade Estadual De Londrina, Caixa Postal 6001, CEP 86051-990 Londrina, PR, Brazil"," Universidade Estadual De Londrina, Caixa Postal 6001, CEP 86051-990 Londrina, PR, Brazil",,,,,,
2," Centro De Investigación Y Desarrollo En Criotecnología De Alimentos (CIDCA), CONICET, Universidad Nacional De La Plata, La Plata, Argentina"," CONICET, Universidad Nacional De La Plata, La Plata, Argentina"," Universidad Nacional De La Plata, La Plata, Argentina",-57.9439718,-34.9059055,ChIJ87h-yEDmopURNk_3hRN4yfM,Buenos Aires,AR,
3,"Departamento de Tecnologia de Alimentos e Medicamentos, Centro de Ciências Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil"," Centro de Ciências Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil"," Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina-PR, Brazil",,,,,,
4," Centro de Investigación y Desarrollo en Criotecnología, de Alimentos (CIDCA, CONICET, Universidad Nacional de la Plata, Buenos Aires 1900, Argentina"," de Alimentos (CIDCA, CONICET, Universidad Nacional de la Plata, Buenos Aires 1900, Argentina"," CONICET, Universidad Nacional de la Plata, Buenos Aires 1900, Argentina",-57.9439718,-34.9059055,ChIJ87h-yEDmopURNk_3hRN4yfM,Buenos Aires,AR,
5,"Depto. de Tecnologia de Alimentos, Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina, PR, Brazil"," Ctro. de Ciê. Agrárias, Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina, PR, Brazil"," Universidade Estadual de Londrina, Cx. Postal 6001, CEP 86051-990, Londrina, PR, Brazil",,,,,,
6," Ctro. Invest./Desarrollo C.A., CONICET, Universidad Nacional de La Plata, Buenos Aires, Argentina"," CONICET, Universidad Nacional de La Plata, Buenos Aires, Argentina"," Universidad Nacional de La Plata, Buenos Aires, Argentina",-57.9511629,-34.9128319,ChIJwV1dXTfmopURlDyKtR55R_s,Buenos Aires,AR,
7," Depto. de Ing. Química, Facultad de Ingeniería, UNLP, 47 y 116, La Plata (1900), Buenos Aires, Argentina"," Facultad de Ingeniería, UNLP, 47 y 116, La Plata (1900), Buenos Aires, Argentina"," UNLP, 47 y 116, La Plata (1900), Buenos Aires, Argentina",-57.944947,-34.907468,ChIJccHGVUfmopUReItPN3I08mo,Buenos Aires,AR,La Plata
8,"Departamento de Tecnologia de Alimentos, Medicamentos - Universidade Estadual de Londrina, Londrina, PR, Brazil"," Medicamentos - Universidade Estadual de Londrina, Londrina, PR, Brazil"," Londrina, PR, Brazil",-51.2015674,-23.3285032,ChIJ9abwN59c65QRxzLFNJqIU2Y,PR,BR,Londrina
9," Departamento de Engenharia Química e Engenharia, Alimentos - Universidade Federal de Santa Catarina, 88040-900 Florianópolis, SC, Brazil"," Alimentos - Universidade Federal de Santa Catarina, 88040-900 Florianópolis, SC, Brazil"," 88040-900 Florianópolis, SC, Brazil",-48.5142031,-27.5993174,ChIJtfS1oVQ4J5URCJ_wJ4UwMSg,SC,BR,Florianópolis
