Authors,Title,Year,Source title,Cited by,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords
"Kippenberg T.J., Vahala K.J.","Cavity optomechanics: Back-action at the mesoscale",2008,"Science",1059,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-50649100847&doi=10.1126%2fscience.1156032&partnerID=40&md5=cf569e7b84d3cc3f6790a64467b7f26d","Max Planck Institute für Quantenoptik, 85748 Garching, Germany; Department of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Swiss Federal Institute of Technology (EPFL), Lausanne, Switzerland","Kippenberg, T.J., Max Planck Institute für Quantenoptik, 85748 Garching, Germany, Swiss Federal Institute of Technology (EPFL), Lausanne, Switzerland; Vahala, K.J., Department of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States","The coupling of optical and mechanical degrees of freedom is the underlying principle of many techniques to measure mechanical displacement, from macroscale gravitational wave detectors to microscale cantilevers used in scanning probe microscopy. Recent experiments have reached a regime where the back-action of photons caused by radiation pressure can influence the optomechanical dynamics, giving rise to a host of long-anticipated phenomena. Here we review these developments and discuss the opportunities for innovative technology as well as for fundamental science.",,"innovation; mechanics; technological development; biomechanics; interferometer; molecular mechanics; optics; oscillator; priority journal; quantum chemistry; radiation; review"
"Aspelmeyer M., Kippenberg T.J., Marquardt F.","Cavity optomechanics",2014,"Reviews of Modern Physics",733,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941643414&doi=10.1103%2fRevModPhys.86.1391&partnerID=40&md5=2b2699eefd6ad25b0500628a5566ac7a","Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, Vienna, Austria; Ecole Polytechnique Fédérale de Lausanne (EPFL), Institute of Condensed Matter Physics, Lausanne, Switzerland; University of Erlangen-Nürnberg, Institute for Theoretical Physics, Staudtstrasse 7, Erlangen, Germany; Max Planck Institute for the Science of Light, Erlangen, Germany","Aspelmeyer, M., Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, Vienna, Austria; Kippenberg, T.J., Ecole Polytechnique Fédérale de Lausanne (EPFL), Institute of Condensed Matter Physics, Lausanne, Switzerland; Marquardt, F., University of Erlangen-Nürnberg, Institute for Theoretical Physics, Staudtstrasse 7, Erlangen, Germany, Max Planck Institute for the Science of Light, Erlangen, Germany","The field of cavity optomechanics is reviewed. This field explores the interaction between electromagnetic radiation and nanomechanical or micromechanical motion. This review covers the basics of optical cavities and mechanical resonators, their mutual optomechanical interaction mediated by the radiation-pressure force, the large variety of experimental systems which exhibit this interaction, optical measurements of mechanical motion, dynamical backaction amplification and cooling, nonlinear dynamics, multimode optomechanics, and proposals for future cavity-quantum-optomechanics experiments. In addition, the perspectives for fundamental quantum physics and for possible applications of optomechanical devices are described. © 2014 American Physical Society.",,"Electromagnetic waves; Optical data processing; Cavity optomechanics; Experimental system; Mechanical motions; Mechanical resonators; Optical cavities; Optical measurement; Quantum optomechanics; Radiation pressure; Cooling systems"
"Eichenfield M., Camacho R., Chan J., Vahala K.J., Painter O.","A picogram- and nanometre-scale photonic-crystal optomechanical cavity",2009,"Nature",448,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349158605&doi=10.1038%2fnature08061&partnerID=40&md5=9f5275b2d21cc2d5af7b4d23210bf37c","Thomas J. Watson, Sr. Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States","Eichenfield, M., Thomas J. Watson, Sr. Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Camacho, R., Thomas J. Watson, Sr. Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Chan, J., Thomas J. Watson, Sr. Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Vahala, K.J., Thomas J. Watson, Sr. Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Painter, O., Thomas J. Watson, Sr. Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States","The dynamic back-action caused by electromagnetic forces (radiation pressure) in optical and microwave cavities is of growing interest. Back-action cooling, for example, is being pursued as a means of achieving the quantum ground state of macroscopic mechanical oscillators. Work in the optical domain has revolved around millimetre- or micrometre-scale structures using the radiation pressure force. By comparison, in microwave devices, low-loss superconducting structures have been used for gradient-force-mediated coupling to a nanomechanical oscillator of picogram mass. Here we describe measurements of an optical system consisting of a pair of specially patterned nanoscale beams in which optical and mechanical energies are simultaneously localized to a cubic-micron-scale volume, and for which large per-photon optical gradient forces are realized. The resulting scale of the per-photon force and the mass of the structure enable the exploration of cavity optomechanical regimes in which, for example, the mechanical rigidity of the structure is dominantly provided by the internal light field itself. In addition to precision measurement and sensitive force detection, nano-optomechanics may find application in reconfigurable and tunable photonic systems, light-based radio-frequency communication and the generation of giant optical nonlinearities for wavelength conversion and optical buffering. © 2009 Macmillan Publishers Limited. All rights reserved.",,"communication network; nanotechnology; optical instrument; optical property; precision; radiative forcing; rigidity; superconductivity; wavelength; accuracy; article; crystal; energy; force; laser; light; mass; measurement; molecular mechanics; photon; priority journal; rigidity; sensitivity analysis"
"Kippenberg T.J., Vahala K.J.","Cavity opto-mechanics",2007,"Optics Express",439,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-37149049283&partnerID=40&md5=52caf9cdb7db0386d9760f74f7a20977","Max Planck Institut für Quantenoptik, Garching, Germany; California Institute of Technology, Pasadena, United States","Kippenberg, T.J., Max Planck Institut für Quantenoptik, Garching, Germany; Vahala, K.J., California Institute of Technology, Pasadena, United States","The coupling of mechanical and optical degrees of freedom via radiation pressure has been a subject of early research in the context of gravitational wave detection. Recent experimental advances have allowed studying for the first time the modifications of mechanical dynamics provided by radiation pressure. This paper reviews the consequences of back-action of light confined in whispering-gallery dielectric microcavities, and presents a unified treatment of its two manifestations: notably the parametric instability (mechanical amplification and oscillation) and radiation pressure back-action cooling. Parametric instability offers a novel ""photonic clock"" which is driven purely by the pressure of light. In contrast, radiation pressure cooling can surpass existing cryogenic technologies and offers cooling to phonon occupancies below unity and provides a route towards cavity Quantum Optomechanics © 2007 Optical Society of America.",,"Gravity waves; Microcavities; Photons; Radiation; Dielectric microcavities; Parametric instability; Radiation pressure cooling; Degrees of freedom (mechanics)"
"Safavi-Naeini A.H., Alegre T.P.M., Chan J., Eichenfield M., Winger M., Lin Q., Hill J.T., Chang D.E., Painter O.","Electromagnetically induced transparency and slow light with optomechanics",2011,"Nature",406,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953752354&doi=10.1038%2fnature09933&partnerID=40&md5=ac9beac849b8972680a8bbe25a1f9e47","Thomas J. Watson Sr Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Institute for Quantum Information, California Institute of Technology, Pasadena, CA 91125, United States; Center for the Physics of Information, California Institute of Technology, Pasadena, CA 91125, United States","Safavi-Naeini, A.H., Thomas J. Watson Sr Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Alegre, T.P.M., Thomas J. Watson Sr Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Chan, J., Thomas J. Watson Sr Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Eichenfield, M., Thomas J. Watson Sr Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Winger, M., Thomas J. Watson Sr Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Lin, Q., Thomas J. Watson Sr Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Hill, J.T., Thomas J. Watson Sr Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Chang, D.E., Institute for Quantum Information, California Institute of Technology, Pasadena, CA 91125, United States, Center for the Physics of Information, California Institute of Technology, Pasadena, CA 91125, United States; Painter, O., Thomas J. Watson Sr Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States","Controlling the interaction between localized optical and mechanical excitations has recently become possible following advances in micro- and nanofabrication techniques. So far, most experimental studies of optomechanics have focused on measurement and control of the mechanical subsystem through its interaction with optics, and have led to the experimental demonstration of dynamical back-action cooling and optical rigidity of the mechanical system. Conversely, the optical response of these systems is also modified in the presence of mechanical interactions, leading to effects such as electromagnetically induced transparency (EIT) and parametric normal-mode splitting. In atomic systems, studies of slow and stopped light (applicable to modern optical networks and future quantum networks) have thrust EIT to the forefront of experimental study during the past two decades. Here we demonstrate EIT and tunable optical delays in a nanoscale optomechanical crystal, using the optomechanical nonlinearity to control the velocity of light by way of engineered photon-""phonon interactions. Our device is fabricated by simply etching holes into a thin film of silicon. At low temperature (8.7 kelvin), we report an optically tunable delay of 50 nanoseconds with near-unity optical transparency, and superluminal light with a 1.4 microsecond signal advance. These results, while indicating significant progress towards an integrated quantum optomechanical memory, are also relevant to classical signal processing applications. Measurements at room temperature in the analogous regime of electromagnetically induced absorption show the utility of these chip-scale optomechanical systems for optical buffering, amplification, and filtering of microwave-over-optical signals. © 2011 Macmillan Publishers Limited. All rights reserved.",,"silicon; absorption; cooling; electromagnetic survey; etching; experimental study; rigidity; signal processing; transparency; absorption; article; electromagnetic radiation; film; microtechnology; nanofabrication; optics; phonon; photon; priority journal; quantum mechanics; room temperature"
"Teufel J.D., Li D., Allman M.S., Cicak K., Sirois A.J., Whittaker J.D., Simmonds R.W.","Circuit cavity electromechanics in the strong-coupling regime",2011,"Nature",357,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952386469&doi=10.1038%2fnature09898&partnerID=40&md5=3984b38059ad5cbca574c0ca1be6b9d3","National Institute of Standards and Technology, 325 Broadway, Boulder, CO 80305, United States","Teufel, J.D., National Institute of Standards and Technology, 325 Broadway, Boulder, CO 80305, United States; Li, D., National Institute of Standards and Technology, 325 Broadway, Boulder, CO 80305, United States; Allman, M.S., National Institute of Standards and Technology, 325 Broadway, Boulder, CO 80305, United States; Cicak, K., National Institute of Standards and Technology, 325 Broadway, Boulder, CO 80305, United States; Sirois, A.J., National Institute of Standards and Technology, 325 Broadway, Boulder, CO 80305, United States; Whittaker, J.D., National Institute of Standards and Technology, 325 Broadway, Boulder, CO 80305, United States; Simmonds, R.W., National Institute of Standards and Technology, 325 Broadway, Boulder, CO 80305, United States","Demonstrating and exploiting the quantum nature of macroscopic mechanical objects would help us to investigate directly the limitations of quantum-based measurements and quantum information protocols, as well as to test long-standing questions about macroscopic quantum coherence. Central to this effort is the necessity of long-lived mechanical states. Previous efforts have witnessed quantum behaviour, but for a low-quality-factor mechanical system. The field of cavity optomechanics and electromechanics, in which a high-quality-factor mechanical oscillator is parametrically coupled to an electromagnetic cavity resonance, provides a practical architecture for cooling, manipulation and detection of motion at the quantum level. One requirement is strong coupling, in which the interaction between the two systems is faster than the dissipation of energy from either system. Here, by incorporating a free-standing, flexible aluminium membrane into a lumped-element superconducting resonant cavity, we have increased the single-photon coupling strength between these two systems by more than two orders of magnitude, compared to previously obtained coupling strengths. A parametric drive tone at the difference frequency between the mechanical oscillator and the cavity resonance dramatically increases the overall coupling strength, allowing us to completely enter the quantum-enabled, strong-coupling regime. This is evidenced by a maximum normal-mode splitting of nearly six bare cavity linewidths. Spectroscopic measurements of these ĝ€̃ dressed states' are in excellent quantitative agreement with recent theoretical predictions. The basic circuit architecture presented here provides a feasible path to ground-state cooling and subsequent coherent control and measurement of long-lived quantum states of mechanical motion. © 2011 Macmillan Publishers Limited. All rights reserved.",,"aluminum; aluminum; detection method; dissipation; electromagnetic method; energy efficiency; frequency analysis; magnitude; measurement method; membrane; quantitative analysis; quantum mechanics; spectroscopy; theoretical study; article; motion; oscillator; priority journal; quantitative analysis; quantum mechanics; spectroscopy; strength"
"Carmon T., Rokhsari H., Yang L., Kippenberg T.J., Vahala K.J.","Temporal behavior of radiation-pressure-induced vibrations of an optical microcavity phonon mode",2005,"Physical Review Letters",336,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27744557619&doi=10.1103%2fPhysRevLett.94.223902&partnerID=40&md5=3755e785b461e82847bb02a500391888","California Institute of Technology, 1200 E. California Boulevard, Pasadena, CA 91125, United States","Carmon, T., California Institute of Technology, 1200 E. California Boulevard, Pasadena, CA 91125, United States; Rokhsari, H., California Institute of Technology, 1200 E. California Boulevard, Pasadena, CA 91125, United States; Yang, L., California Institute of Technology, 1200 E. California Boulevard, Pasadena, CA 91125, United States; Kippenberg, T.J., California Institute of Technology, 1200 E. California Boulevard, Pasadena, CA 91125, United States; Vahala, K.J., California Institute of Technology, 1200 E. California Boulevard, Pasadena, CA 91125, United States","We analyze experimentally and theoretically mechanical oscillation within an optical cavity stimulated by the pressure of circulating optical radiation. The resulting radio frequency cavity vibrations (phonon mode) cause modulation of the incident, continuous-wave (cw) input pump beam. Furthermore, with increasing cw pump power, an evolution from sinusoidal modulation to random oscillations is observed in the pump power coupled from the resonator. The temporal evolution with pump power is studied, and agreement was found with theory. In addition to applications in quantum optomechanics, the present work suggests that radiation-pressure-induced effects can establish a practical limit for the miniaturization of optical silica microcavities. © 2005 The American Physical Society.",,"Optical microcavity; Optical radiation; Optical silica; Pump power; Cavity resonators; Molecular vibrations; Oscillations; Phonons; Silica; Quantum optics"
"Brennecke F., Ritter S., Donner T., Esslinger T.","Cavity optomechanics with a Bose-Einstein condensate",2008,"Science",312,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-53749085102&doi=10.1126%2fscience.1163218&partnerID=40&md5=aa41833feb23cd4ea78ace7e5b169b3b","Institute for Quantum Electronics, ETH Zürich, CH-8093 Zürich, Switzerland","Brennecke, F., Institute for Quantum Electronics, ETH Zürich, CH-8093 Zürich, Switzerland; Ritter, S., Institute for Quantum Electronics, ETH Zürich, CH-8093 Zürich, Switzerland; Donner, T., Institute for Quantum Electronics, ETH Zürich, CH-8093 Zürich, Switzerland; Esslinger, T., Institute for Quantum Electronics, ETH Zürich, CH-8093 Zürich, Switzerland","Cavity optomechanics studies the coupling between a mechanical oscillator and the electromagnetic field in a cavity. We report on a cavity optomechanical system in which a collective density excitation of a Bose-Einstein condensate serves as the mechanical oscillator coupled to the cavity field. A few photons inside the ultrahigh-finesse cavity trigger strongly driven back-action dynamics, in quantitative agreement with a cavity optomechanical model. We approach the strong coupling regime of cavity optomechanics, where a single excitation of the mechanical oscillator substantially influences the cavity field. The results open up new directions for investigating mechanical oscillators in the quantum regime and the border between classical and quantum physics.",,"cavity; condensate; electromagnetic field; model; quantum mechanics; article; bose einstein condensate; cavity optomechanics; electromagnetic field; molecular dynamics; molecular mechanics; molecular model; nonhuman; oscillator; photon; polymerization; priority journal; quantitative analysis"
"Anetsberger G., Arcizet O., Unterreithmeier Q.P., Rivière R., Schliesser A., Weig E.M., Kotthaus J.P., Kippenberg T.J.","Near-field cavity optomechanics with nanomechanical oscillators",2009,"Nature Physics",288,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-71449113433&doi=10.1038%2fnphys1425&partnerID=40&md5=53ca2610b1517e16f3af6cc1891a96e0","Max-Planck-Institut für Quantenoptik, Hans-Kopfermann-Str. 1, 85748 Garching, Germany; Fakultät für Physik, Center for NanoScience (CeNS), Ludwig-Maximilians-Universität (LMU), Geschwister-Scholl-Platz 1, 80539 München, Germany; Ecole Polytechnique Fédérale de Lausanne, EPFL, 1015 Lausanne, Switzerland","Anetsberger, G., Max-Planck-Institut für Quantenoptik, Hans-Kopfermann-Str. 1, 85748 Garching, Germany; Arcizet, O., Max-Planck-Institut für Quantenoptik, Hans-Kopfermann-Str. 1, 85748 Garching, Germany; Unterreithmeier, Q.P., Fakultät für Physik, Center for NanoScience (CeNS), Ludwig-Maximilians-Universität (LMU), Geschwister-Scholl-Platz 1, 80539 München, Germany; Rivière, R., Max-Planck-Institut für Quantenoptik, Hans-Kopfermann-Str. 1, 85748 Garching, Germany; Schliesser, A., Max-Planck-Institut für Quantenoptik, Hans-Kopfermann-Str. 1, 85748 Garching, Germany; Weig, E.M., Fakultät für Physik, Center for NanoScience (CeNS), Ludwig-Maximilians-Universität (LMU), Geschwister-Scholl-Platz 1, 80539 München, Germany; Kotthaus, J.P., Fakultät für Physik, Center for NanoScience (CeNS), Ludwig-Maximilians-Universität (LMU), Geschwister-Scholl-Platz 1, 80539 München, Germany; Kippenberg, T.J., Max-Planck-Institut für Quantenoptik, Hans-Kopfermann-Str. 1, 85748 Garching, Germany, Ecole Polytechnique Fédérale de Lausanne, EPFL, 1015 Lausanne, Switzerland","Cavity-enhanced radiation-pressure coupling between optical and mechanical degrees of freedom allows quantum-limited position measurements and gives rise to dynamical backaction, enabling amplification and cooling of mechanical motion. Here, we demonstrate purely dispersive coupling of high-Q nanomechanical oscillators to an ultrahigh-finesse optical microresonator via its evanescent field, extending cavity optomechanics to nanomechanical oscillators. Dynamical backaction mediated by the optical dipole force is observed, leading to laser-like coherent nanomechanical oscillations solely due to radiation pressure. Moreover, sub-fm Hz 1/2 displacement sensitivity is achieved, with a measurement imprecision equal to the standard quantum limit (SQL), which coincides with the nanomechanical oscillators zero-point fluctuations. The achievement of an imprecision at the SQL and radiation-pressure dynamical backaction for nanomechanical oscillators may have implications not only for detecting quantum phenomena in mechanical systems, but also for a variety of other precision experiments. Owing to the flexibility of the near-field coupling platform, it can be readily extended to a diverse set of nanomechanical oscillators. In addition, the approach provides a route to experiments where radiation-pressure quantum backaction dominates at room temperature, enabling ponderomotive squeezing or quantum non-demolition measurements. © 2009 Macmillan Publishers Limited. All rights reserved.",,
"Lee H., Chen T., Li J., Yang K.Y., Jeon S., Painter O., Vahala K.J.","Chemically etched ultrahigh-Q wedge-resonator on a silicon chip",2012,"Nature Photonics",224,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861668621&doi=10.1038%2fnphoton.2012.109&partnerID=40&md5=3c711a8ea15950a5c2882ae4b1877b59","T.J. Watson Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States","Lee, H., T.J. Watson Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Chen, T., T.J. Watson Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Li, J., T.J. Watson Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Yang, K.Y., T.J. Watson Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Jeon, S., T.J. Watson Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Painter, O., T.J. Watson Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States; Vahala, K.J., T.J. Watson Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, United States","Ultrahigh-Q optical resonators are being studied across a wide range of fields, including quantum information, nonlinear optics, cavity optomechanics and telecommunications1-7. Here, we demonstrate a new resonator with a record Q-factor of 875 million for on-chip devices. The fabrication of our device avoids the requirement for a specialized processing step, which in microtoroid resonators8 has made it difficult to control their size and achieve millimetre- and centimetre-scale diameters. Attaining these sizes is important in applications such as microcombs and potentially also in rotation sensing. As an application of size control, stimulated Brillouin lasers incorporating our device are demonstrated. The resonators not only set a new benchmark for the Q-factor on a chip, but also provide, for the first time, full compatibility of this important device class with conventional semiconductor processing. This feature will greatly expand the range of possible 'system on a chip' functions enabled by ultrahigh-Q devices. © 2012 Macmillan Publishers Limited. All rights reserved.",,
